,WorfClass_cat_Private,Education NumCat_Medium,Education NumCat_High,AgeCat_Young,AgeCat_Middle_aged,Hours/WeekCat_Medium,Hours/WeekCat_High,Marital Status_cat_Single,Marital Status_cat_married,Occupa_cat_Highskill,Occupa_cat_Lowskill,Relationship_ Husband,Relationship_ Not-in-family,Sex_ Female,Sex_ Male
158,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True
159,True,False,True,False,True,False,True,True,False,False,True,False,False,False,True
161,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False
162,False,False,True,False,True,True,False,True,False,True,False,False,False,True,False
163,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False
164,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True
165,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False
166,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True
167,False,False,True,False,True,True,False,True,False,False,True,False,False,False,True
168,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True
169,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False
170,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True
171,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True
172,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
173,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True
174,False,False,True,True,False,True,False,False,True,True,False,True,False,False,True
175,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False
176,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True
177,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True
178,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True
179,True,False,True,False,True,False,False,False,True,True,False,True,False,False,True
180,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True
181,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False
182,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True
183,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True
184,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True
185,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
186,False,False,True,False,True,True,False,True,False,True,False,False,True,True,False
188,True,False,True,False,True,False,True,False,True,True,False,False,False,True,False
189,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True
190,True,True,False,False,True,False,False,True,False,False,True,False,True,True,False
191,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True
192,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True
193,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
194,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True
195,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True
196,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True
197,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False
198,True,False,True,False,True,True,False,False,True,True,False,False,False,False,True
199,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True
200,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False
202,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
203,False,True,False,False,True,True,False,True,False,True,False,False,True,True,False
204,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
205,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False
206,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
207,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True
208,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
209,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False
210,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
211,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
212,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False
213,True,True,False,False,False,True,False,False,True,False,True,True,False,False,True
214,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True
215,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
216,True,False,True,False,True,True,False,True,False,False,True,False,True,True,False
217,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
218,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
219,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True
220,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
222,True,True,False,False,False,True,False,True,False,False,True,False,True,False,True
223,True,True,False,False,True,False,False,False,True,False,True,True,False,False,True
224,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False
225,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False
227,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True
228,True,True,False,False,False,False,False,True,False,False,True,False,True,True,False
229,True,True,False,False,False,True,False,True,False,False,True,False,True,True,False
230,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True
231,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False
232,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True
233,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False
234,True,False,True,True,False,False,True,True,False,True,False,False,True,False,True
235,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True
236,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False
237,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
238,False,False,True,False,True,False,False,False,True,True,False,True,False,False,True
239,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True
240,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True
241,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
242,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True
244,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True
246,True,True,False,False,False,False,True,False,True,False,True,True,False,False,True
247,True,True,False,False,True,False,False,True,False,False,True,False,True,True,False
248,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
250,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False
251,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False
252,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
253,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
254,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True
255,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
256,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False
257,True,True,False,False,True,False,False,True,False,False,True,False,True,True,False
258,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False
259,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True
260,True,False,True,False,True,True,False,True,False,True,False,False,False,True,False
261,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
262,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True
263,True,True,False,False,False,True,False,False,True,False,True,True,False,False,True
264,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True
265,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True
267,True,True,False,False,False,True,False,False,True,True,False,True,False,False,True
268,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
269,True,True,False,False,True,True,False,False,True,False,True,False,False,True,False
270,True,True,False,False,False,True,False,False,True,True,False,True,False,False,True
271,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
272,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True
273,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True
274,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False
275,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
276,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
277,True,True,False,False,True,True,False,True,False,True,False,False,True,True,False
278,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False
279,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False
280,True,False,True,True,False,False,False,True,False,True,False,False,True,True,False
281,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
282,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False
283,True,False,True,False,False,False,True,True,False,True,False,False,True,True,False
284,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True
285,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True
286,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
287,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True
288,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False
289,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True
290,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
291,True,True,False,False,True,True,False,True,False,True,False,False,True,True,False
292,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True
293,True,True,False,True,False,False,True,True,False,False,True,False,False,False,True
294,True,False,True,True,False,True,False,True,False,False,True,False,False,True,False
295,True,True,False,False,False,False,False,False,True,False,True,True,False,False,True
296,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False
298,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True
299,True,True,False,False,True,False,False,True,False,False,True,False,True,False,True
300,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
301,True,True,False,True,False,False,False,True,False,False,True,False,True,True,False
302,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
303,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
304,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False
305,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False
306,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True
307,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False
308,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
309,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True
310,True,False,True,True,False,True,False,True,False,False,True,False,True,False,True
311,True,False,True,False,True,False,False,False,True,True,False,True,False,False,True
313,False,False,True,False,True,True,False,True,False,True,False,False,True,True,False
314,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True
315,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True
316,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True
317,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False
318,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False
319,True,True,False,False,False,False,False,True,False,False,True,False,True,True,False
320,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True
321,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
322,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True
323,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False
324,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True
325,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True
327,True,True,False,False,True,False,True,False,True,True,False,False,False,True,False
328,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True
329,True,True,False,False,False,False,True,True,False,False,True,False,True,False,True
330,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True
331,True,False,True,True,False,True,False,True,False,False,True,False,True,False,True
332,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True
333,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True
334,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
335,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True
336,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True
337,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
338,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True
339,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
340,True,False,True,True,False,True,False,True,False,False,True,False,True,False,True
341,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
342,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
343,True,True,False,False,True,False,False,True,False,False,True,False,True,False,True
344,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False
345,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True
348,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True
349,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True
350,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True
351,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True
352,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True
353,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True
355,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
356,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True
357,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
358,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False
359,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True
360,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
361,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True
362,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
363,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True
364,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True
365,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True
366,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True
367,True,False,True,True,False,False,False,True,False,False,True,False,True,True,False
368,True,False,True,False,False,False,True,True,False,True,False,False,True,True,False
369,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False
370,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
371,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True
372,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
373,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
374,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True
375,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
376,True,True,False,False,True,True,False,False,True,False,True,False,False,True,False
377,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True
378,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True
379,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
380,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True
381,True,False,False,False,True,False,True,True,False,False,True,False,True,True,False
382,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True
383,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False
384,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False
385,True,True,False,True,False,False,False,True,False,False,True,False,True,True,False
386,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True
387,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False
388,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False
389,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False
390,True,True,False,False,True,True,False,False,True,False,True,False,False,True,False
391,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True
392,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True
394,True,True,False,False,True,False,False,True,False,False,True,False,True,True,False
395,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
396,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False
398,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True
399,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True
400,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True
401,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False
402,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True
403,True,True,False,False,True,False,False,True,False,False,True,False,True,True,False
404,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True
405,True,False,True,False,True,False,False,False,True,True,False,True,False,False,True
406,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True
407,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True
409,True,True,False,False,True,False,True,False,True,True,False,True,False,False,True
410,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False
411,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False
412,True,True,False,False,True,True,False,True,False,True,False,False,False,True,False
413,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
414,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
415,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True
416,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True
417,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False
418,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True
419,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False
420,True,True,False,True,False,False,False,False,True,False,True,True,False,False,True
421,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True
422,False,False,True,False,True,True,False,False,True,True,False,False,False,True,False
423,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True
424,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
425,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True
426,False,False,True,False,True,True,False,True,False,True,False,False,True,False,True
427,True,True,False,True,False,False,False,True,False,False,True,False,True,False,True
428,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True
429,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True
432,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False
433,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False
434,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True
435,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
436,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True
437,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False
438,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True
439,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False
440,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True
441,True,True,False,False,True,False,False,True,False,False,True,False,True,True,False
442,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
443,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True
444,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True
445,True,True,False,True,False,False,False,True,False,False,True,False,True,False,True
446,True,True,False,False,True,True,False,True,False,True,False,False,False,True,False
447,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
448,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True
450,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False
451,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True
452,True,True,False,False,False,True,False,False,True,False,True,True,False,False,True
454,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False
455,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
456,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False
457,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
458,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True
460,True,False,True,False,True,True,False,True,False,False,True,False,False,False,True
